frame	cv1	cv2	energy	cluster
17502	58.641909	7.646514	0.010558	1
10634	57.809813	7.563128	0.010558	1
11144	58.498221	7.657846	0.010590	1
16674	57.690079	7.525571	0.010782	1
10552	58.191261	7.626715	0.010798	1
17452	57.693817	7.529839	0.010844	1
17831	57.878144	7.578071	0.011022	1
19112	57.850383	7.572998	0.011158	1
17737	57.763478	7.554353	0.011257	1
15415	58.149092	7.622135	0.011434	1
1152	57.738592	7.510925	0.011547	1
10672	57.847906	7.573518	0.011624	1
19123	58.365102	7.577539	0.011651	1
16165	57.736097	7.548731	0.011684	1
10074	57.842058	7.572774	0.011815	1
18918	57.750930	7.509897	0.011902	1
18383	57.951628	7.592985	0.011967	1
3004	58.057614	7.533762	0.011975	1
11086	57.842377	7.573181	0.011977	1
17460	58.219898	7.554434	0.012064	1
16158	58.251268	7.558522	0.012326	1
18391	58.053288	7.609845	0.012352	1
17855	58.120131	7.619753	0.012452	1
15400	57.920461	7.518795	0.012507	1
18107	57.834381	7.572850	0.012573	1
10209	57.903606	7.585956	0.012681	1
17037	57.851456	7.576378	0.012684	1
17874	57.783735	7.562908	0.012779	1
403	57.876272	7.514414	0.012869	1
18710	58.111035	7.619169	0.012899	1
17619	57.740999	7.553632	0.012933	1
1453	58.122180	7.539689	0.013116	1
17599	58.700430	7.659513	0.013131	1
16840	57.964263	7.597101	0.013136	1
17322	58.213897	7.551735	0.013216	1
17686	58.512010	7.601378	0.013294	1
10691	58.039494	7.529339	0.013416	1
17591	57.932469	7.517956	0.013604	1
20112	57.797876	7.567825	0.013678	1
10424	57.628249	7.513454	0.013766	1
17770	58.705032	7.651958	0.013817	1
15853	57.901087	7.587611	0.013871	1
10640	58.697273	7.669911	0.013976	1
18567	58.302568	7.645542	0.013993	1
10592	58.413778	7.581727	0.014007	1
16769	57.621893	7.509633	0.014266	1
10389	58.711253	7.651628	0.014280	1
17524	57.753569	7.559794	0.014288	1
17541	57.993078	7.522793	0.014344	1
15082	58.453756	7.661894	0.014385	1
20335	57.720297	7.502493	0.014415	1
10484	57.629732	7.505623	0.014477	1
18081	57.675300	7.541484	0.014558	1
18438	58.333542	7.567346	0.014660	1
20012	58.711002	7.648897	0.014694	1
19563	58.497570	7.595732	0.014748	1
17774	58.517223	7.599410	0.014826	1
13	57.629938	7.503460	0.014858	1
10158	57.631888	7.528958	0.014872	1
16871	58.069011	7.616090	0.014887	1
17651	58.346669	7.568819	0.015057	1
25	57.652845	7.500742	0.015091	1
11176	58.002530	7.522466	0.015207	1
10556	58.391421	7.575906	0.015221	1
19627	57.619253	7.503051	0.015223	1
17652	57.823692	7.576119	0.015369	1
15054	58.729896	7.652882	0.015427	1
18678	58.425155	7.661109	0.015553	1
10565	58.662644	7.630158	0.015656	1
10067	58.731194	7.674473	0.015668	1
18596	58.727079	7.650071	0.015708	1
18125	57.604725	7.522523	0.015753	1
1255	58.600634	7.614935	0.015784	1
18117	58.746481	7.658895	0.015820	1
18646	58.432416	7.581653	0.016020	1
19119	57.878706	7.509019	0.016064	1
19261	57.812428	7.575212	0.016067	1
18767	58.570625	7.607737	0.016140	1
3026	57.584698	7.506280	0.016150	1
17198	57.684615	7.548529	0.016250	1
15132	58.463559	7.665944	0.016292	1
18121	58.595947	7.676160	0.016297	1
16762	58.737727	7.677117	0.016339	1
19113	57.722303	7.498059	0.016363	1
17461	58.525464	7.598092	0.016433	1
10012	57.973099	7.603715	0.016483	1
19522	58.178515	7.542005	0.016505	1
440	58.763872	7.671152	0.016526	1
16862	57.579583	7.504036	0.016546	1
19059	57.597632	7.525378	0.016851	1
17041	57.583004	7.499562	0.016960	1
